schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.65
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,8901862240972638188,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,10905072972338274451,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,11464202676325044416,419,0,0.7684,14.7189,0.4033,0.4472,0.6356,0.4675,0.5738,0.4897,0.5182,0.7476,0.6532,0.5961,0.4752,0.5031,0.4866,0.4983
slope-off,55,13608193616337504566,398,0,0.7487,8.0857,0.6662,0.5525,0.5685,0.5277,0.5217,0.5211,0.5420,0.6860,0.7669,0.6860,0.4740,0.5016,0.5266,0.5166
slope-off,58,18426514821861917436,7,0,0.0512,15.6751,0.5517,0.5500,0.4694,0.4482,0.4295,0.4492,0.5988,0.7788,0.7742,0.6183,0.4512,0.5225,0.4906,0.5187
slope-off,69,8877556722899734767,333,0,0.3065,3.5711,0.4896,0.5010,0.4618,0.4642,0.4788,0.5027,0.3807,0.7336,0.6330,0.7074,0.4753,0.4995,0.5083,0.5027
slope-off,74,10998534963689172560,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,80,6197040561837304520,107,0,0.0520,2.3918,0.4180,0.4371,0.5529,0.5847,0.5371,0.4975,0.6032,0.8213,0.7368,0.5809,0.4851,0.5082,0.5307,0.4775
slope-off,98,457680903674533508,324,0,0.0744,4.9116,0.4208,0.5094,0.4837,0.5073,0.5318,0.5526,0.4512,0.7547,0.5473,0.6681,0.4705,0.4696,0.4931,0.4929
slope-off,101,17033921964893581529,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,107,8965118976558272811,2,0,0.1368,14.3768,1.0385,0.4582,0.2718,0.4665,0.5448,0.5622,0.5132,0.7320,0.9244,0.5871,0.2872,0.4932,0.4239,0.5145
slope-off,114,2524983153614853314,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,118,1537475287390188044,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,120,14071860502086551726,396,0,0.6900,4.9839,0.7110,0.5014,0.5833,0.5569,0.5456,0.4614,0.5705,0.6815,0.3349,0.6115,0.4831,0.4928,0.5043,0.5439
slope-off,128,266453726684159680,345,0,0.0335,14.0547,0.4025,0.4660,0.3673,0.4354,0.4692,0.5151,0.5308,0.6065,0.8255,0.7784,0.4839,0.5028,0.5073,0.5111
slope-off,135,15877543811200844297,164,0,0.7732,0.9151,0.1412,0.3744,0.5365,0.4752,0.6348,0.3904,0.5623,0.7158,0.7063,0.6182,0.4951,0.4668,0.4886,0.4899
slope-off,147,12687253531941691807,325,0,0.6787,10.2015,0.3282,0.5417,0.6097,0.5162,0.6182,0.4891,0.3553,0.5366,0.7212,0.4399,0.4807,0.5193,0.4896,0.4825
slope-off,148,17505765169572400748,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,150,12637119836839766391,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,152,16674834162351805036,402,0,0.5477,1.1572,0.2482,0.4964,0.4946,0.5683,0.4471,0.7020,0.5369,0.6560,0.6783,0.7063,0.4790,0.4995,0.4953,0.5220
slope-off,153,10867515564989483506,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,167,3373938538690171560,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,176,369163524824426439,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,187,5476873947525196131,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,193,17501029868702386802,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,221,11230115286048297594,210,0,0.0132,1.8697,0.2100,0.3907,0.5548,0.6233,0.7256,0.4881,0.4636,0.8495,0.5348,0.5372,0.4670,0.4497,0.4959,0.5190
slope-off,228,13032814347260375437,8,0,0.0582,18.8076,0.4134,0.4502,0.5312,0.4175,0.3634,0.5421,0.5675,0.7205,0.8886,0.7358,0.4449,0.5487,0.5280,0.4739
slope-off,229,6353899128017788742,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
