schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=3
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,9570993423674910325,15,0,0.7805,4.5375,1.3401,0.5152,0.4575,0.4098,0.5098,0.4626,0.5147,0.6236,0.3339,0.9455,0.4780,0.4464,0.4467,0.5272
slope-off,52,15592554471454907943,157,0,0.7890,10.2359,0.5085,0.5652,0.5531,0.4993,0.4254,0.5079,0.6038,0.7873,0.4298,0.8646,0.4795,0.4980,0.4555,0.5101
slope-off,53,14297431587984354320,15,0,0.8115,12.1297,0.5250,0.5937,0.4625,0.4088,0.6177,0.4933,0.6369,0.5031,0.6643,0.4032,0.4351,0.5089,0.5206,0.4731
slope-off,55,6259981099684235562,37,0,0.8214,1.3611,0.4307,0.5531,0.3287,0.4977,0.3765,0.5800,0.6568,0.3893,0.8279,0.8725,0.3532,0.5580,0.5249,0.5524
slope-off,58,10009952566156417241,117,0,0.8149,17.2287,0.3958,0.5204,0.5011,0.5402,0.3743,0.4326,0.5661,0.7422,0.7008,0.6739,0.4521,0.5069,0.5038,0.4851
slope-off,69,1761475404873494584,163,0,0.8053,1.2484,0.2718,0.4826,0.3759,0.4866,0.4501,0.4580,0.4140,0.7605,0.7338,0.6685,0.4438,0.4739,0.4610,0.4970
slope-off,74,17442080120740272387,177,0,0.7803,5.2966,0.5825,0.5100,0.6168,0.5473,0.5219,0.4183,0.5172,0.6835,0.7896,0.8382,0.4546,0.5021,0.4915,0.5277
slope-off,80,144705147748801582,56,0,0.8006,8.2034,0.8210,0.6005,0.5115,0.4665,0.5534,0.4859,0.5878,0.8475,0.1862,0.5703,0.4962,0.4933,0.4942,0.4966
slope-off,98,17633683865849345679,53,0,0.8164,3.0872,0.3334,0.4895,0.5307,0.5558,0.5495,0.5063,0.5512,0.7082,0.5781,0.5838,0.4645,0.5349,0.5055,0.4957
slope-off,101,14545634011614542599,147,0,0.7890,1.2979,0.1698,0.5302,0.4525,0.4857,0.5004,0.4798,0.4850,0.7064,0.8159,0.6695,0.4874,0.5206,0.5193,0.4988
