schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,9321284169227066140,186,0,0.7833,3.8409,0.5204,0.6106,0.5129,0.5039,0.5092,0.5122,0.5484,0.6709,0.4356,0.8806,0.4393,0.5384,0.5266,0.4971
slope-off,52,7919387092472509415,477,0,0.3941,7.7229,0.4834,0.5509,0.5030,0.4651,0.5078,0.5012,0.5783,0.8081,0.4890,0.7929,0.4795,0.4915,0.4930,0.4838
slope-off,53,5442345648750524603,195,0,0.7533,14.0578,0.4246,0.4522,0.5636,0.5576,0.5783,0.4903,0.5612,0.4766,0.8228,0.6545,0.4637,0.4925,0.4449,0.5285
slope-off,55,11006420127413846025,275,0,0.7373,8.2874,0.5760,0.5898,0.4807,0.5627,0.4986,0.5768,0.5272,0.7802,0.6911,0.8335,0.4570,0.5491,0.5004,0.5233
slope-off,58,18005563176115725797,314,0,0.7686,17.6027,0.3459,0.4620,0.4603,0.4151,0.4103,0.4468,0.6041,0.8106,0.6702,0.7755,0.4348,0.4906,0.4827,0.4774
slope-off,69,3250975045721846361,440,0,0.7358,2.3230,0.3499,0.4151,0.4672,0.5216,0.6002,0.5663,0.4355,0.7500,0.5935,0.7189,0.4644,0.4840,0.4868,0.4955
slope-off,74,7717689719759256142,347,0,0.4475,2.9721,0.3867,0.5648,0.5969,0.5568,0.4938,0.4137,0.5036,0.7400,0.6113,0.8255,0.4440,0.5129,0.4677,0.5149
slope-off,80,8409691245619446605,311,0,0.3519,7.3747,0.6782,0.5323,0.5789,0.5066,0.5480,0.4495,0.4789,0.7444,0.7044,0.5542,0.4174,0.4964,0.4920,0.5126
slope-off,98,2972415452200147885,500,0,0.4342,4.2748,0.4144,0.5097,0.5464,0.5310,0.4415,0.5214,0.4891,0.6965,0.6501,0.6239,0.3966,0.5077,0.5054,0.4917
slope-off,101,14833318359661571346,423,0,0.1531,2.2058,0.3295,0.5352,0.5561,0.5217,0.5508,0.4631,0.4703,0.6399,0.7247,0.8405,0.4484,0.4870,0.5051,0.5035
