schema=1
code_revision=0914369
scenario_id=p6-defense-calibration-regen2.25
scenario_layout_fingerprint=10343396763847525330
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-off,42,5090473584565679175,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,1027940861424989494,8,0,0.6429,10.2030,0.4384,0.4850,0.5199,0.4343,0.5444,0.5696,0.5672,0.4717,0.4619,0.5558,0.4914,0.4941,0.5593,0.3054,0.7680,0.9172,0.5589,0.4746
slope-off,53,6414978713947336654,166,0,0.6997,12.3693,0.4011,0.4872,0.5532,0.5138,0.4965,0.4596,0.4830,0.5165,0.5020,0.4686,0.4624,0.4944,0.4927,0.2713,0.8728,0.3323,0.6487,0.5421
slope-off,55,76071825342608845,24,0,0.6487,7.9639,0.5393,0.4928,0.4805,0.5457,0.5484,0.4905,0.4728,0.4710,0.5715,0.5274,0.4865,0.5390,0.4427,0.8255,0.7399,0.6102,0.2415,0.5179
slope-off,58,11537860015425349723,297,0,0.6757,14.7132,0.5318,0.4874,0.5653,0.5167,0.5120,0.4985,0.5199,0.4801,0.4618,0.5348,0.4841,0.5043,0.4763,0.0847,0.4136,0.2281,0.5255,0.4876
slope-off,69,2271228676528624574,29,0,0.6661,4.1032,0.6060,0.5154,0.4642,0.4484,0.5323,0.5244,0.4830,0.4790,0.4169,0.5200,0.5211,0.4514,0.4457,0.6012,0.8543,0.1668,0.9095,0.4995
slope-off,74,9063702575369722578,133,0,0.6877,1.6635,0.2540,0.5401,0.4924,0.4259,0.5193,0.5048,0.4880,0.4505,0.4628,0.5196,0.4887,0.5271,0.4364,0.3223,0.9210,0.4775,0.3653,0.4984
slope-off,80,14286918923369171193,40,0,0.5947,11.9785,0.7414,0.5238,0.5113,0.5459,0.4161,0.4914,0.5264,0.5139,0.4848,0.5185,0.5047,0.5065,0.4843,0.5385,0.8717,0.3471,0.6157,0.5238
slope-off,98,5138072747760161501,36,0,0.6964,2.5573,0.3088,0.4979,0.5450,0.5112,0.4791,0.5404,0.4970,0.5265,0.5185,0.4417,0.4766,0.4603,0.5034,0.4580,0.8376,0.5035,0.2684,0.4510
slope-off,101,8274325469773193359,19,0,0.6574,1.7162,0.2293,0.4934,0.4881,0.4498,0.5456,0.4022,0.5296,0.5117,0.5836,0.5311,0.4848,0.4473,0.4729,0.7711,0.4863,0.0581,0.3591,0.5128
