schema=1
code_revision=9a7284d
scenario_id=p6-defense-calibration-regen3.00
scenario_layout_fingerprint=5940183082593059794
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,8826734943349010707,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,7598720899757767431,7,0,0.6825,7.4350,0.6675,0.3731,0.4771,0.4797,0.5647,0.6619,0.5674,0.4538,0.5837,0.5544,0.5446,0.6003,0.4548,0.2804,0.6608,0.8657,0.4734,0.0815,0.6650,0.4603
slope-off,53,3897627962815352450,52,0,0.7077,13.0997,0.5077,0.4288,0.5475,0.4454,0.4902,0.5002,0.4680,0.4646,0.4752,0.5093,0.5188,0.5154,0.4861,0.2457,0.8363,0.2343,0.4853,0.2261,0.3137,0.5041
slope-off,55,13486381853820895351,27,0,0.6830,7.5078,0.5593,0.5153,0.5166,0.5171,0.5225,0.4548,0.5117,0.5000,0.5982,0.5036,0.4679,0.5002,0.4802,0.4929,0.8359,0.6197,0.4452,0.7851,0.5503,0.5348
slope-off,58,17043939439592684280,418,0,0.5965,14.0338,0.6417,0.4872,0.5515,0.4987,0.4724,0.4945,0.4903,0.4807,0.4657,0.5198,0.4600,0.5206,0.4884,0.0928,0.3555,0.2589,0.4675,0.6594,0.5404,0.4953
slope-off,69,12970591188759165539,64,0,0.6423,4.2301,0.3664,0.5542,0.5219,0.5003,0.5146,0.4771,0.5323,0.4449,0.4766,0.4911,0.4386,0.4605,0.4458,0.4867,0.8101,0.0821,0.7861,0.3281,0.4329,0.5217
slope-off,74,8908473733544298075,15,0,0.6339,2.1422,0.5693,0.5158,0.4911,0.4412,0.5962,0.5011,0.4477,0.4483,0.4863,0.4818,0.5356,0.5424,0.4073,0.3394,0.3043,0.3980,0.9854,0.9479,0.7535,0.4990
slope-off,80,5362157779293636913,74,0,0.6142,14.9405,0.6648,0.5219,0.4797,0.5639,0.4432,0.4640,0.4932,0.5412,0.4534,0.5311,0.4425,0.5096,0.4895,0.4851,0.8448,0.2719,0.7023,0.7722,0.7296,0.5787
slope-off,98,5701940479806729423,26,0,0.6072,3.7273,0.3189,0.5343,0.4911,0.4610,0.4794,0.5019,0.4761,0.5119,0.5282,0.4936,0.4680,0.5504,0.5457,0.8226,0.9044,0.7656,0.5266,0.8073,0.8721,0.4610
slope-off,101,7511115863470159749,16,0,0.6106,0.5247,0.1050,0.5501,0.4526,0.4873,0.5735,0.4299,0.5091,0.4089,0.4281,0.5302,0.4432,0.4343,0.5011,0.9577,0.9349,0.2606,0.2267,0.5553,0.1384,0.5360
slope-off,107,3356148471943763940,132,0,0.6207,14.3134,0.7090,0.4742,0.5251,0.5083,0.4953,0.4740,0.5253,0.5273,0.5054,0.5082,0.4598,0.4759,0.4110,0.2224,0.5411,0.7779,0.0796,0.5453,0.5778,0.4859
slope-off,114,16311920280594318033,184,0,0.6157,22.0182,0.4134,0.4764,0.4916,0.5001,0.4623,0.4867,0.4887,0.5211,0.5314,0.5649,0.4683,0.5286,0.4600,0.3193,0.7953,0.5170,0.5844,0.4908,0.6150,0.5279
slope-off,118,1758630423365679710,296,0,0.7069,7.0774,0.3003,0.4661,0.5362,0.4775,0.4956,0.4600,0.5237,0.4833,0.5639,0.5122,0.4702,0.4784,0.4964,0.2003,0.7226,0.3247,0.4974,0.5741,0.7449,0.4825
slope-off,120,757457929464536112,68,0,0.5719,6.2002,0.8172,0.5248,0.5156,0.5115,0.5370,0.5310,0.5693,0.5082,0.5184,0.5359,0.4767,0.4851,0.4294,0.3326,0.6475,0.5572,0.7460,0.4625,0.4407,0.4865
