sites,cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen,activePatches
6,48,42,0.27620,0.05289,-0.22331,0.003484,48,15,22
6,48,43,0.27075,0.21143,-0.05932,0.004455,48,16,21
6,48,44,0.27437,0.33250,0.05813,0.004134,48,15,23
6,48,45,0.29232,0.04750,-0.24481,0.004073,48,15,23
6,48,46,0.28078,0.17772,-0.10306,0.003860,48,15,24
6,48,47,0.29771,0.53765,0.23994,0.004813,48,13,23
6,48,48,0.29871,0.27643,-0.02228,0.004730,48,15,24
6,48,49,0.30515,0.31495,0.00980,0.004224,48,15,23
6,48,50,0.30222,0.37525,0.07303,0.003909,48,15,22
6,48,51,0.29569,0.23542,-0.06027,0.004441,48,16,23
6,48,52,0.29904,0.36969,0.07065,0.004043,48,14,22
6,48,53,0.29304,0.32346,0.03042,0.003697,48,15,23
6,48,54,0.30881,0.08929,-0.21952,0.003926,48,14,21
6,48,55,0.30165,0.16469,-0.13696,0.003438,48,15,24
6,48,56,0.28769,0.16890,-0.11879,0.003912,48,15,23
6,48,57,0.26971,0.16153,-0.10817,0.004172,48,17,24
6,48,58,0.35852,0.09009,-0.26843,0.004670,48,15,24
6,48,59,0.33497,0.22903,-0.10594,0.004119,48,17,22
6,48,60,0.27643,0.04476,-0.23167,0.004103,48,15,22
6,48,61,0.30893,0.40791,0.09898,0.004397,48,13,22
6,48,62,0.30954,0.26464,-0.04490,0.006677,48,14,23
6,48,63,0.25510,0.23707,-0.01804,0.004982,48,17,23
6,48,64,0.35395,0.15388,-0.20006,0.004549,48,15,21
6,48,65,0.30719,0.27882,-0.02837,0.003309,48,15,23
6,48,66,0.31583,0.60610,0.29027,0.006501,48,14,23
6,48,67,0.29982,0.12612,-0.17370,0.003927,48,14,24
6,48,68,0.24757,0.10061,-0.14697,0.004017,48,14,24
6,48,69,0.30553,0.32230,0.01677,0.004747,48,18,22
6,48,70,0.29850,0.18317,-0.11533,0.005521,48,14,23
6,48,71,0.28742,0.66428,0.37686,0.005746,48,18,20
12,48,42,0.30111,0.09691,-0.20419,0.002160,48,15,45
12,48,43,0.25532,0.41357,0.15825,0.002025,48,16,46
12,48,44,0.31177,0.26924,-0.04253,0.002084,48,15,47
12,48,45,0.32172,0.14206,-0.17967,0.001903,48,17,46
12,48,46,0.31829,0.21513,-0.10316,0.001855,48,16,45
12,48,47,0.27425,0.21881,-0.05544,0.002604,48,15,47
12,48,48,0.27234,0.27193,-0.00041,0.002432,48,15,45
12,48,49,0.28522,0.27270,-0.01252,0.002317,48,16,47
12,48,50,0.29010,0.30262,0.01252,0.002072,48,16,46
12,48,51,0.30040,0.17254,-0.12786,0.001908,48,16,45
12,48,52,0.30136,0.24019,-0.06118,0.001884,48,16,43
12,48,53,0.33724,0.40538,0.06814,0.001948,48,16,48
12,48,54,0.30448,0.42566,0.12119,0.002231,48,18,44
12,48,55,0.30355,0.34447,0.04092,0.002236,48,19,45
12,48,56,0.28310,0.29873,0.01562,0.002000,48,15,45
12,48,57,0.28239,0.34554,0.06315,0.002158,48,17,47
12,48,58,0.30035,0.05944,-0.24091,0.001888,48,16,47
12,48,59,0.28984,0.09282,-0.19703,0.002165,48,16,45
12,48,60,0.29239,0.22373,-0.06866,0.002327,48,18,44
