sites,cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen,activePatches
12,48,42,0.30111,0.09691,-0.20419,0.002160,48,15,45
12,48,43,0.25532,0.41357,0.15825,0.002025,48,16,46
12,48,44,0.31177,0.26924,-0.04253,0.002084,48,15,47
12,48,45,0.32172,0.14206,-0.17967,0.001903,48,17,46
12,48,46,0.31829,0.21513,-0.10316,0.001855,48,16,45
12,48,47,0.27425,0.21881,-0.05544,0.002604,48,15,47
12,48,48,0.27234,0.27193,-0.00041,0.002432,48,15,45
12,48,49,0.28522,0.27270,-0.01252,0.002317,48,16,47
12,48,50,0.29010,0.30262,0.01252,0.002072,48,16,46
12,48,51,0.30040,0.17254,-0.12786,0.001908,48,16,45
12,48,52,0.30136,0.24019,-0.06118,0.001884,48,16,43
12,48,53,0.33724,0.40538,0.06814,0.001948,48,16,48
12,48,54,0.30448,0.42566,0.12119,0.002231,48,18,44
12,48,55,0.30355,0.34447,0.04092,0.002236,48,19,45
12,48,56,0.28310,0.29873,0.01562,0.002000,48,15,45
12,48,57,0.28239,0.34554,0.06315,0.002158,48,17,47
12,48,58,0.30035,0.05944,-0.24091,0.001888,48,16,47
12,48,59,0.28984,0.09282,-0.19703,0.002165,48,16,45
12,48,60,0.29239,0.22373,-0.06866,0.002327,48,18,44
12,48,61,0.32075,0.10416,-0.21658,0.001792,48,14,46
12,48,62,0.30357,0.22980,-0.07378,0.002704,48,16,48
12,48,63,0.28471,0.20302,-0.08170,0.001998,48,16,46
12,48,64,0.30270,0.54228,0.23958,0.002435,48,15,46
12,48,65,0.29486,0.23733,-0.05753,0.002212,48,18,46
12,48,66,0.31089,0.33365,0.02276,0.002161,48,16,47
12,48,67,0.27626,0.18738,-0.08888,0.002147,48,18,46
12,48,68,0.30858,0.09351,-0.21507,0.002098,48,13,47
12,48,69,0.27933,0.03917,-0.24016,0.001917,48,15,46
12,48,70,0.29279,0.20134,-0.09145,0.002402,48,15,47
12,48,71,0.26544,0.34937,0.08394,0.001847,48,15,46
18,72,42,0.30401,0.12784,-0.17616,0.001904,72,19,70
18,72,43,0.30953,0.17508,-0.13445,0.002020,72,17,67
18,72,44,0.28164,0.52963,0.24800,0.002345,72,16,69
18,72,45,0.28821,0.12448,-0.16372,0.001955,72,16,71
18,72,46,0.31471,0.56462,0.24991,0.002184,72,19,70
18,72,47,0.27789,0.38231,0.10442,0.002664,72,19,71
18,72,48,0.30777,0.26862,-0.03916,0.002324,72,16,68
18,72,49,0.25726,0.53231,0.27505,0.002396,72,16,68
18,72,50,0.27166,0.21892,-0.05274,0.002053,72,17,70
18,72,51,0.28673,0.28631,-0.00042,0.002310,72,19,69
18,72,52,0.30641,0.31302,0.00661,0.002115,72,15,71
18,72,53,0.33053,0.12029,-0.21023,0.001984,72,19,71
18,72,54,0.31340,0.38153,0.06813,0.002289,72,17,68
18,72,55,0.29479,0.29176,-0.00303,0.001971,72,17,70
18,72,56,0.32208,0.08602,-0.23606,0.001981,72,20,69
18,72,57,0.29468,0.22281,-0.07187,0.002148,72,17,66
18,72,58,0.30222,0.21073,-0.09149,0.001919,72,16,68
18,72,59,0.31808,0.17256,-0.14553,0.002048,72,17,70
18,72,60,0.30271,0.15149,-0.15122,0.001900,72,18,68
18,72,61,0.28978,0.22511,-0.06468,0.002165,72,17,70
18,72,62,0.31661,0.08283,-0.23378,0.002525,72,16,67
18,72,63,0.30740,0.20858,-0.09882,0.001924,72,18,71
18,72,64,0.30302,0.31795,0.01493,0.002253,72,16,69
18,72,65,0.29690,0.08775,-0.20915,0.001686,72,17,68
18,72,66,0.31646,0.21580,-0.10067,0.002208,72,17,69
18,72,67,0.29265,0.13994,-0.15271,0.001708,72,15,68
18,72,68,0.32511,0.33604,0.01092,0.002544,72,15,67
18,72,69,0.31150,0.25704,-0.05446,0.002872,72,18,68
18,72,70,0.31808,0.08486,-0.23322,0.002117,72,17,68
18,72,71,0.28919,0.14617,-0.14303,0.001839,72,16,69
24,96,42,0.29137,0.41596,0.12459,0.001968,96,16,93
24,96,43,0.27975,0.35736,0.07760,0.002069,96,17,93
24,96,44,0.30143,0.18283,-0.11860,0.001968,96,16,93
24,96,45,0.33020,0.37366,0.04345,0.002426,96,15,92
24,96,46,0.30663,0.24969,-0.05694,0.002035,96,19,94
24,96,47,0.31478,0.14572,-0.16906,0.002344,96,15,93
24,96,48,0.30768,0.29734,-0.01033,0.002129,96,18,92
24,96,49,0.29819,0.23417,-0.06402,0.002112,96,18,92
24,96,50,0.31879,0.52063,0.20184,0.002198,96,18,91
24,96,51,0.30677,0.27346,-0.03331,0.001989,96,16,93
24,96,52,0.29352,0.25814,-0.03538,0.001563,96,17,89
24,96,53,0.29101,0.36510,0.07408,0.001994,96,19,91
24,96,54,0.32843,0.57289,0.24445,0.002609,96,16,91
24,96,55,0.31491,0.39212,0.07721,0.002110,96,18,91
24,96,56,0.28472,0.39060,0.10588,0.002072,96,16,95
24,96,57,0.31575,0.37607,0.06032,0.002142,96,16,95
24,96,58,0.30454,0.38316,0.07862,0.001808,96,18,91
24,96,59,0.30592,0.42811,0.12219,0.002281,96,16,94
24,96,60,0.31596,0.41112,0.09516,0.002042,96,18,95
24,96,61,0.30574,0.25530,-0.05044,0.001815,96,16,93
24,96,62,0.31057,0.51683,0.20626,0.002706,96,15,89
24,96,63,0.30931,0.35287,0.04356,0.001999,96,18,95
24,96,64,0.33010,0.21648,-0.11361,0.001857,96,18,91
24,96,65,0.33779,0.20064,-0.13716,0.001867,96,18,92
24,96,66,0.28899,0.30093,0.01194,0.002055,96,17,95
24,96,67,0.31510,0.29273,-0.02238,0.001821,96,18,95
24,96,68,0.30527,0.17550,-0.12977,0.002068,96,18,93
24,96,69,0.30944,0.30283,-0.00660,0.002330,96,17,90
24,96,70,0.28781,0.33049,0.04268,0.002179,96,16,92
24,96,71,0.31228,0.12406,-0.18823,0.001754,96,15,94
